policyholder_id,age,gender,policy_type,annual_premium,policy_start_date,policy_duration_months,has_claim,claim_amount,region
134,74,Male,Life,1909.15,2021-02-09,24,0,0.0,South East
135,36,Male,Life,369.61,2018-03-02,51,0,0.0,London
136,45,Male,Motor,441.48,2022-09-21,20,0,0.0,South East
137,74,Female,Home,594.45,2023-08-26,34,0,0.0,London
138,75,Female,Home,2902.87,2018-09-07,67,0,0.0,Midlands
139,31,Female,Life,1497.62,2018-11-27,47,0,0.0,London
140,42,Female,Home,1912.96,2021-04-22,64,0,0.0,South East
141,75,Male,Health,2057.47,2020-05-30,61,0,0.0,London
142,46,Female,Home,2269.95,2021-07-04,60,0,0.0,Midlands
143,34,Female,Motor,2545.78,2019-01-17,61,1,11212.54,Scotland
144,60,Male,Home,1816.28,2021-09-12,21,0,0.0,Scotland
145,73,Female,Health,2246.86,2021-03-24,45,0,0.0,South East
146,38,Male,Life,905.46,2019-03-20,50,0,0.0,Midlands
147,73,Female,Home,2479.5,2018-04-18,40,1,4462.42,North West
148,46,Female,Motor,2648.63,2022-06-30,14,1,9680.99,London
149,72,Male,Home,1524.84,2019-10-07,53,0,0.0,Midlands
150,61,Male,Health,720.07,2018-07-23,16,0,0.0,North West
151,56,Female,Home,882.04,2023-09-30,20,0,0.0,London
152,68,Female,Home,1132.73,2020-06-22,56,0,0.0,London
153,38,Female,Health,2371.84,2020-11-12,43,0,0.0,London
154,72,Female,Motor,1326.56,2020-07-31,70,0,0.0,North West
155,47,Male,Home,2303.51,2022-11-22,8,0,0.0,London
156,45,Female,Home,2215.65,2022-09-07,43,1,802.42,Midlands
157,64,Female,Life,2783.38,2018-12-27,61,0,0.0,London
158,62,Female,Home,1368.57,2021-06-24,49,0,0.0,North West
159,29,Male,Home,823.54,2021-12-02,50,0,0.0,Scotland
160,34,Male,Motor,991.11,2019-12-12,25,0,0.0,North West
161,36,Female,Home,1822.09,2023-01-13,47,0,0.0,South East
162,34,Female,Motor,1493.96,2021-05-25,41,0,0.0,Midlands
163,29,Female,Home,401.54,2022-02-19,42,1,13031.63,Scotland
164,64,Female,Home,1796.65,2018-06-18,63,0,0.0,South East
165,37,Female,Home,1653.69,2018-09-11,63,1,13537.34,Midlands
166,70,Male,Home,765.91,2020-10-11,62,0,0.0,South East
167,64,Male,Home,2778.43,2022-05-06,58,0,0.0,North West
168,28,Female,Motor,555.17,2022-05-03,42,0,0.0,Scotland
169,63,Male,Motor,1873.4,2019-08-03,50,0,0.0,North West
170,67,Female,Motor,2213.85,2018-12-14,45,0,0.0,North West
171,46,Male,Life,2538.19,2023-11-27,17,0,0.0,Midlands
172,48,Male,Home,786.71,2020-05-27,49,0,0.0,South East
173,39,Male,Motor,1098.64,2019-02-19,70,0,0.0,Scotland
174,58,Male,Life,2666.26,2019-06-21,54,1,3122.27,North West
175,64,Male,Life,417.97,2022-02-01,36,0,0.0,South East
176,73,Female,Motor,945.75,2023-04-06,30,0,0.0,Wales
177,53,Female,Life,2400.93,2023-08-22,59,0,0.0,Scotland
178,63,Male,Health,440.89,2023-05-23,53,0,0.0,London
179,58,Male,Motor,2360.42,2021-01-22,63,0,0.0,London
180,52,Male,Health,899.5,2023-01-22,50,0,0.0,Midlands
181,50,Female,Motor,2985.22,2022-03-16,34,1,13996.98,Scotland
182,66,Female,Life,671.52,2021-03-21,66,0,0.0,London
183,70,Female,Home,314.18,2018-11-21,8,0,0.0,Scotland
184,60,Female,Motor,1077.87,2021-05-18,21,1,6587.47,North West
185,54,Male,Motor,2743.9,2018-03-09,71,0,0.0,North West
186,43,Female,Motor,1252.6,2022-09-03,29,0,0.0,London
187,48,Male,Health,1769.02,2023-09-11,8,0,0.0,South East
188,65,Female,Health,984.86,2018-03-08,51,0,0.0,Midlands
189,71,Male,Life,2285.0,2021-09-23,23,1,8417.2,Scotland
190,36,Female,Health,1592.03,2020-01-17,23,1,11754.76,South East
191,43,Male,Motor,838.57,2018-06-21,46,0,0.0,South East
192,59,Female,Motor,2333.89,2020-02-22,42,0,0.0,North West
193,66,Female,Motor,2458.22,2022-11-25,57,0,0.0,Scotland
194,49,Female,Health,1639.75,2023-07-31,53,0,0.0,South East
195,30,Female,Motor,1926.62,2020-01-10,43,0,0.0,London
196,67,Female,Motor,1927.08,2022-10-12,27,0,0.0,Midlands
197,27,Female,Home,1474.34,2018-08-23,15,0,0.0,Midlands
198,57,Male,Health,685.5,2022-11-30,10,1,3921.93,North West
199,48,Female,Health,387.44,2019-09-21,63,0,0.0,Midlands
200,73,Male,Home,1729.54,2022-06-19,46,0,0.0,London
201,32,Male,Life,1647.42,2022-05-05,21,0,0.0,Midlands
202,53,Male,Health,1071.06,2023-07-05,31,1,12865.98,South East
203,70,Female,Health,2488.39,2021-08-02,50,0,0.0,South East
204,43,Female,Health,2221.88,2019-12-15,52,0,0.0,London
205,37,Male,Motor,1633.86,2022-01-18,53,0,0.0,Wales
206,33,Male,Motor,1375.03,2023-05-15,58,0,0.0,Scotland
207,29,Male,Health,2034.31,2023-01-18,65,0,0.0,Midlands
208,74,Male,Life,648.39,2023-08-22,13,0,0.0,South East
209,44,Male,Motor,2823.79,2020-07-12,50,0,0.0,South East
210,43,Male,Motor,2014.65,2021-01-29,22,0,0.0,South East
211,30,Male,Home,1867.75,2019-12-03,49,0,0.0,South East
212,26,Male,Motor,2031.93,2020-12-20,32,0,0.0,Midlands
213,65,Male,Home,1993.34,2021-04-01,44,0,0.0,Scotland
214,68,Female,Motor,497.03,2018-09-03,26,0,0.0,South East
215,38,Female,Home,1143.97,2021-07-31,50,0,0.0,London
216,48,Male,Motor,1559.48,2020-12-31,63,0,0.0,London
217,43,Female,Health,1428.96,2019-10-17,47,0,0.0,North West
218,37,Male,Home,1689.76,2023-08-05,45,0,0.0,London
219,50,Female,Health,880.89,2021-12-16,12,1,7675.97,Scotland
220,66,Female,Motor,322.08,2019-03-17,61,1,4334.86,Midlands
221,50,Female,Motor,438.13,2020-03-08,52,0,0.0,London
222,57,Female,Life,1055.25,2019-05-02,22,0,0.0,Midlands
223,75,Female,Home,1287.14,2019-08-14,31,0,0.0,Midlands
224,27,Male,Motor,2226.7,2023-04-25,72,0,0.0,South East
225,57,Male,Motor,1955.28,2019-10-28,56,0,0.0,North West
226,44,Female,Home,1676.23,2023-06-30,44,0,0.0,London
227,46,Male,Health,1876.0,2018-04-20,66,0,0.0,North West
228,74,Male,Life,1875.51,2019-11-30,54,1,10370.54,London
229,69,Male,Motor,1490.8,2022-09-12,25,0,0.0,London
230,57,Female,Health,2286.76,2018-09-13,23,0,0.0,South East
231,67,Female,Home,1147.13,2019-12-11,64,0,0.0,Midlands
232,47,Female,Home,819.11,2020-10-06,41,0,0.0,London
233,44,Female,Life,2163.65,2023-06-26,46,0,0.0,South East
234,75,Female,Motor,1848.39,2022-04-05,56,0,0.0,Wales
235,34,Female,Motor,2879.35,2018-11-20,50,0,0.0,North West
236,72,Female,Motor,2535.47,2021-01-15,40,1,9427.32,South East
237,40,Male,Life,1733.81,2020-08-11,12,1,5289.26,South East
238,68,Male,Motor,1785.95,2019-10-09,58,0,0.0,Scotland
239,55,Female,Life,2340.96,2021-03-22,47,0,0.0,London
240,74,Male,Life,926.99,2018-06-02,28,0,0.0,Scotland
241,27,Female,Life,803.04,2021-03-31,10,1,8735.45,London
242,46,Female,Home,2031.54,2023-11-18,69,0,0.0,London
243,57,Female,Motor,2483.8,2021-09-16,26,0,0.0,North West
244,70,Male,Motor,1210.2,2021-04-23,30,1,12914.12,Scotland
245,52,Female,Motor,2106.99,2020-01-27,23,0,0.0,Wales
246,25,Female,Home,1506.19,2020-12-29,48,0,0.0,North West
247,25,Female,Life,2170.48,2018-09-12,21,0,0.0,London
248,68,Female,Life,2024.52,2021-04-23,53,0,0.0,London
249,33,Female,Motor,2318.88,2022-03-11,59,0,0.0,Scotland
250,73,Male,Life,2136.92,2018-12-02,63,0,0.0,Midlands
251,61,Male,Motor,1778.65,2023-09-02,31,0,0.0,London
252,45,Female,Motor,854.58,2023-06-26,17,0,0.0,South East
253,28,Female,Motor,1421.65,2018-08-25,65,0,0.0,Midlands
254,26,Female,Motor,308.14,2020-06-11,15,1,5495.67,London
255,28,Male,Health,1574.59,2021-03-21,58,1,2463.72,North West
256,71,Female,Home,2706.6,2023-01-12,54,0,0.0,North West
257,67,Male,Life,1238.98,2020-01-02,56,0,0.0,North West
258,39,Male,Life,2941.92,2023-03-12,60,0,0.0,Scotland
259,40,Female,Motor,1044.25,2019-04-08,10,0,0.0,Midlands
260,74,Male,Motor,481.69,2018-05-18,63,0,0.0,North West
261,28,Male,Life,1386.12,2020-08-17,33,0,0.0,North West
262,33,Female,Motor,2774.27,2021-07-30,47,0,0.0,Scotland
263,67,Male,Home,1042.92,2019-12-19,60,0,0.0,London
264,47,Female,Life,1160.58,2022-09-02,58,1,5958.67,North West
265,55,Male,Life,1111.99,2019-08-15,65,0,0.0,South East
266,51,Male,Home,988.49,2021-09-14,16,0,0.0,Scotland
267,30,Male,Motor,1318.35,2018-06-11,15,1,11544.6,North West
268,60,Male,Home,2647.58,2021-09-25,44,0,0.0,London
269,37,Male,Life,2336.69,2020-09-20,32,0,0.0,London
270,45,Female,Home,1740.86,2022-01-11,45,0,0.0,South East
271,56,Female,Motor,2949.56,2023-04-08,46,0,0.0,Midlands
272,51,Male,Home,897.44,2019-08-21,8,0,0.0,Wales
273,62,Female,Motor,829.72,2020-07-31,54,0,0.0,London
274,60,Female,Motor,2518.3,2023-07-03,64,1,12027.14,London
275,71,Female,Motor,2701.28,2018-08-29,10,0,0.0,London
276,67,Male,Life,1413.46,2020-08-05,14,0,0.0,London
277,57,Female,Home,1968.16,2023-06-03,68,1,8217.08,Midlands
278,26,Female,Home,1074.06,2023-08-20,61,0,0.0,Scotland
279,31,Male,Home,950.62,2023-11-27,38,0,0.0,Midlands
280,50,Male,Home,1396.27,2020-09-23,34,0,0.0,Scotland
281,30,Male,Motor,1324.01,2023-05-04,13,0,0.0,North West
282,30,Female,Life,2041.25,2021-09-18,18,0,0.0,Scotland
283,39,Male,Health,2169.18,2023-05-02,40,1,1578.05,Wales
284,59,Male,Motor,2596.15,2018-03-06,32,0,0.0,North West
285,70,Female,Health,1108.05,2020-09-11,55,0,0.0,South East
286,49,Male,Life,2161.14,2018-11-18,70,0,0.0,Midlands
287,31,Female,Motor,505.25,2022-06-13,47,1,4463.24,Wales
288,56,Male,Home,2841.09,2022-11-04,29,0,0.0,North West
289,30,Female,Life,2225.39,2018-12-03,40,1,10819.32,North West
290,72,Female,Motor,587.69,2018-01-22,45,0,0.0,North West
291,31,Male,Motor,1463.64,2023-09-30,58,1,1799.47,South East
292,63,Female,Health,333.32,2022-08-22,55,0,0.0,North West
293,60,Male,Home,757.87,2022-04-09,27,1,4866.4,South East
294,29,Male,Home,1436.98,2023-06-07,15,0,0.0,Wales
295,71,Female,Home,827.98,2019-03-15,23,0,0.0,Wales
296,46,Female,Life,1189.76,2021-10-03,61,0,0.0,Scotland
297,63,Male,Motor,1928.67,2020-04-02,67,0,0.0,Wales
298,45,Female,Life,2008.84,2020-09-19,47,0,0.0,Scotland
299,50,Female,Motor,1822.4,2020-01-07,9,0,0.0,South East
300,70,Male,Home,1086.59,2018-10-11,58,0,0.0,London
301,44,Male,Motor,716.19,2022-09-30,54,1,14865.16,South East
302,50,Female,Home,2434.95,2022-01-12,16,1,4099.35,North West
303,35,Male,Home,2041.58,2022-06-25,48,0,0.0,South East
304,25,Male,Motor,1678.83,2023-10-26,34,0,0.0,Midlands
305,74,Male,Motor,366.32,2019-03-05,43,0,0.0,Wales
306,32,Male,Motor,1226.28,2020-04-27,72,0,0.0,South East
307,53,Female,Motor,1110.71,2019-04-17,8,0,0.0,North West
308,68,Male,Health,2299.32,2023-10-15,28,0,0.0,Midlands
309,52,Female,Motor,1393.63,2020-01-26,29,0,0.0,South East
310,26,Male,Home,1459.79,2018-01-19,33,1,11408.72,Scotland
311,29,Male,Life,1749.6,2022-02-07,47,1,2152.35,North West
312,56,Female,Home,1950.53,2019-04-13,50,0,0.0,South East
313,36,Female,Health,1893.45,2019-07-03,46,1,4928.01,London
314,69,Male,Home,1429.25,2019-07-19,55,0,0.0,South East
315,59,Male,Home,1622.03,2019-07-29,29,0,0.0,South East
316,28,Female,Health,1608.44,2020-03-10,55,0,0.0,South East
317,56,Female,Life,1422.2,2022-12-24,68,1,8698.27,North West
318,39,Female,Motor,907.08,2021-03-28,27,0,0.0,South East
319,74,Female,Home,605.67,2019-04-13,40,0,0.0,Scotland
320,48,Male,Life,1491.69,2020-06-14,60,1,12536.03,North West
321,44,Male,Home,1241.16,2018-12-23,62,0,0.0,London
322,40,Male,Life,1887.39,2021-12-07,60,1,2518.91,London
323,38,Male,Home,1737.16,2019-11-21,47,0,0.0,Midlands
324,61,Female,Health,1688.92,2019-01-26,23,0,0.0,North West
325,28,Female,Health,642.6,2019-06-28,37,1,5170.4,London
326,68,Female,Home,1859.05,2021-01-05,59,0,0.0,London
327,75,Male,Home,2324.47,2022-02-20,64,0,0.0,Midlands
328,25,Male,Life,1537.81,2022-01-07,14,0,0.0,Midlands
329,52,Male,Home,1171.74,2021-03-07,49,0,0.0,London
330,56,Female,Health,2358.09,2018-07-08,18,0,0.0,Scotland
331,26,Male,Health,726.56,2023-02-13,6,0,0.0,Midlands
332,69,Male,Health,1115.04,2021-01-27,17,0,0.0,Midlands
333,48,Male,Motor,1989.13,2020-08-17,60,0,0.0,North West
334,25,Male,Home,658.29,2020-07-15,72,0,0.0,London
335,69,Female,Life,2968.02,2022-09-26,22,0,0.0,London
336,30,Male,Motor,1292.42,2021-05-10,23,0,0.0,Scotland
337,33,Male,Motor,1820.89,2019-11-04,62,0,0.0,London
338,72,Male,Health,1963.41,2022-12-18,33,1,1956.74,North West
339,62,Female,Home,1459.35,2019-07-27,37,0,0.0,London
340,60,Female,Life,2164.29,2021-05-20,32,0,0.0,South East
341,72,Female,Motor,447.34,2020-09-07,69,0,0.0,London
342,65,Male,Home,2939.78,2022-01-19,46,1,12981.8,South East
343,48,Male,Life,2877.02,2018-10-26,8,0,0.0,London
344,38,Male,Health,2861.44,2022-06-19,70,0,0.0,North West
345,74,Female,Home,1386.15,2019-09-18,41,1,1645.81,Wales
346,34,Female,Home,2012.59,2018-09-28,45,0,0.0,North West
347,40,Male,Motor,2796.49,2019-04-21,64,0,0.0,London
348,67,Male,Motor,2211.33,2018-02-16,26,0,0.0,Midlands
349,58,Female,Motor,642.71,2021-01-05,21,0,0.0,London
350,52,Female,Home,1009.96,2018-11-12,69,0,0.0,Midlands
351,56,Male,Home,988.81,2019-02-26,20,0,0.0,South East
352,27,Male,Motor,1573.76,2022-04-18,25,1,14424.96,London
353,70,Female,Motor,970.31,2021-08-03,40,0,0.0,South East
354,32,Male,Motor,2471.71,2018-07-08,57,1,7243.87,Midlands
355,44,Female,Motor,1533.21,2022-02-20,31,0,0.0,North West
356,72,Male,Home,1897.57,2023-07-14,31,0,0.0,South East
357,75,Male,Motor,2817.47,2018-04-08,35,0,0.0,North West
358,69,Male,Health,303.95,2022-03-22,45,1,8182.31,London
359,56,Male,Health,684.41,2021-02-20,17,1,3856.35,Scotland
360,51,Female,Home,2319.33,2019-01-27,70,1,12389.46,London
361,61,Male,Home,2903.39,2020-08-27,43,0,0.0,Midlands
362,50,Female,Motor,1034.28,2018-11-02,31,1,11667.13,London
363,31,Male,Home,1147.89,2019-05-10,51,0,0.0,London
364,44,Female,Motor,623.77,2019-10-08,44,0,0.0,North West
365,27,Male,Life,1185.04,2019-01-09,37,0,0.0,Midlands
366,28,Female,Motor,2974.83,2018-05-08,57,0,0.0,South East
367,60,Male,Motor,575.15,2019-07-27,21,1,12540.4,Wales
368,33,Male,Life,1305.05,2018-12-11,39,0,0.0,London
369,29,Male,Health,1497.26,2019-06-12,17,0,0.0,Scotland
370,46,Male,Motor,1544.69,2019-11-20,61,0,0.0,Midlands
371,26,Female,Life,766.58,2020-05-29,29,0,0.0,South East
372,34,Male,Home,1965.84,2021-04-23,69,0,0.0,South East
373,28,Male,Motor,670.54,2020-03-27,37,0,0.0,Scotland
374,75,Male,Health,2411.17,2022-01-10,67,0,0.0,South East
375,61,Female,Home,785.5,2021-07-30,34,1,12255.0,Midlands
376,55,Female,Life,2998.94,2019-10-16,18,0,0.0,London
377,59,Male,Life,2859.07,2022-05-10,51,0,0.0,Wales
378,36,Male,Motor,1158.61,2022-01-09,9,0,0.0,Midlands
379,61,Male,Home,808.23,2023-07-10,45,1,1050.47,London
380,63,Male,Motor,1590.57,2021-09-20,31,0,0.0,Midlands
381,36,Female,Motor,698.82,2019-08-04,20,0,0.0,Scotland
382,29,Female,Life,2087.78,2019-02-18,49,0,0.0,London
383,35,Female,Life,2893.79,2021-07-23,28,0,0.0,South East
384,64,Female,Motor,1890.17,2019-12-20,54,0,0.0,North West
385,33,Male,Life,2861.73,2022-05-23,10,1,5114.15,Scotland
386,64,Male,Home,581.1,2023-07-26,24,0,0.0,London
387,47,Female,Motor,2690.36,2018-12-30,48,0,0.0,Midlands
388,40,Male,Home,2424.95,2018-01-06,12,0,0.0,North West
389,35,Female,Home,1322.52,2022-03-18,18,0,0.0,North West
390,61,Male,Motor,499.02,2018-05-17,43,1,4286.35,London
391,46,Male,Health,734.44,2018-11-04,17,0,0.0,Wales
392,55,Male,Home,2064.81,2022-11-14,26,1,5300.87,Wales
393,51,Female,Life,1102.98,2019-01-28,12,0,0.0,South East
394,56,Male,Motor,310.3,2018-12-25,43,0,0.0,South East
395,55,Male,Motor,858.77,2021-04-10,16,0,0.0,London
396,75,Female,Home,2716.17,2020-12-21,17,0,0.0,Midlands
397,48,Female,Home,1503.59,2020-12-14,62,0,0.0,London
398,42,Male,Motor,2180.47,2019-02-01,16,0,0.0,Scotland
399,51,Male,Home,2570.15,2023-11-11,59,0,0.0,North West
400,55,Male,Home,513.18,2018-05-23,70,0,0.0,South East
401,61,Male,Motor,2344.41,2019-12-10,27,0,0.0,Scotland
402,33,Male,Home,2968.36,2022-11-19,31,0,0.0,South East
403,63,Female,Motor,2263.18,2018-10-02,17,0,0.0,Midlands
404,45,Female,Home,2776.34,2018-02-20,72,0,0.0,London
405,34,Male,Home,1873.23,2019-02-15,19,0,0.0,London
406,43,Female,Health,1013.17,2023-06-12,66,1,4493.51,London
407,63,Female,Motor,2701.85,2021-09-19,36,1,7390.66,Midlands
408,48,Male,Motor,2442.86,2021-06-27,41,0,0.0,Scotland
409,68,Male,Health,915.49,2021-05-15,62,0,0.0,Midlands
410,71,Female,Home,541.07,2022-12-15,33,0,0.0,Midlands
411,56,Female,Life,1691.23,2019-10-14,14,0,0.0,South East
412,33,Male,Motor,2662.99,2020-04-02,13,0,0.0,South East
